Province,Province_Code,City,City_Code,Region,Region_Code,ProductName,ProductName_Code,OrderNum
浙江,33,杭州市,190,江干区,2025,天王卡,5,553
浙江,33,湖州市,194,安吉县,2077,腾讯大王卡,1,72
浙江,33,杭州市,190,萧山区,2029,腾讯大王卡,1,9920
浙江,33,杭州市,190,滨江区,2028,腾讯大王卡,1,3723
浙江,33,杭州市,190,余杭区,2030,腾讯大王卡,1,10055
浙江,33,杭州市,190,上城区,2023,腾讯地王卡,4,138
浙江,33,杭州市,190,江干区,2025,腾讯大王卡,1,8356
浙江,33,杭州市,190,下城区,2024,腾讯亲情卡,6,150
浙江,33,杭州市,190,上城区,2023,腾讯大王卡,1,2043
浙江,33,杭州市,190,桐庐县,2031,大王超级会员卡,2,165
浙江,33,杭州市,190,桐庐县,2031,腾讯大王卡,1,1043
浙江,33,杭州市,190,西湖区,2027,天王卡,5,318
浙江,33,杭州市,190,淳安县,2032,腾讯大王卡,1,413
浙江,33,杭州市,190,富阳市,2034,腾讯大王卡,1,2358
浙江,33,绍兴市,195,越城区,2080,腾讯大王卡,1,104
浙江,33,杭州市,190,余杭区,2030,腾讯地王卡,4,663
浙江,33,杭州市,190,临安市,2035,大王超级会员卡,2,238
浙江,33,杭州市,190,临安市,2035,腾讯大王卡,1,1188
浙江,33,杭州市,190,西湖区,2027,大王超级会员卡,2,603
浙江,33,杭州市,190,江干区,2025,腾讯亲情卡,6,578
浙江,33,湖州市,194,安吉县,2077,大王超级会员卡,2,17
浙江,33,杭州市,190,拱墅区,2026,大王超级会员卡,2,356
浙江,33,杭州市,190,上城区,2023,大王超级会员卡,2,211
浙江,33,衢州市,197,龙游县,2103,大王超级会员卡,2,6
浙江,33,台州市,199,三门县,2117,天王卡,5,1
浙江,33,宁波市,191,江北区,2040,腾讯亲情卡,6,7
浙江,33,台州市,199,临海市,4538,腾讯大王卡,1,34
浙江,33,杭州市,190,拱墅区,2026,天王卡,5,180
浙江,33,杭州市,190,余杭区,2030,腾讯亲情卡,6,806
浙江,33,杭州市,190,江干区,2025,大王超级会员卡,2,1128
浙江,33,杭州市,190,西湖区,2027,腾讯大王卡,1,5028
浙江,33,杭州市,190,拱墅区,2026,腾讯大王卡,1,2546
浙江,33,杭州市,190,萧山区,2029,腾讯亲情卡,6,795
浙江,33,杭州市,190,拱墅区,2026,腾讯地王卡,4,161
浙江,33,宁波市,191,鄞州区,2043,大王超级会员卡,2,23
浙江,33,杭州市,190,余杭区,2030,大王超级会员卡,2,1482
浙江,33,杭州市,190,萧山区,2029,大王超级会员卡,2,1532
浙江,33,杭州市,190,余杭区,2030,天王卡,5,597
浙江,33,宁波市,191,海曙区,2038,大王超级会员卡,2,12
浙江,33,杭州市,190,西湖区,2027,腾讯亲情卡,6,399
浙江,33,丽水市,481,青田县,4536,腾讯亲情卡,6,3
浙江,33,绍兴市,195,绍兴县,2081,腾讯大王卡,1,163
浙江,33,宁波市,191,镇海区,2042,大王超级会员卡,2,6
浙江,33,湖州市,194,德清县,2075,大王超级会员卡,2,26
浙江,33,杭州市,190,建德市,2033,腾讯大王卡,1,559
浙江,33,杭州市,190,临安市,2035,腾讯亲情卡,6,65
浙江,33,温州市,192,鹿城区,2051,天王卡,5,3
浙江,33,杭州市,190,下城区,2024,腾讯大王卡,1,2049
浙江,33,金华市,196,婺城区,2088,大王超级会员卡,2,11
浙江,33,温州市,192,瓯海区,2053,腾讯大王卡,1,28
浙江,33,温州市,192,瑞安市,2060,大王超级会员卡,2,12
浙江,33,杭州市,190,滨江区,2028,腾讯地王卡,4,292
浙江,33,杭州市,190,萧山区,2029,天王卡,5,576
浙江,33,宁波市,191,鄞州区,2043,天王卡,5,7
浙江,33,嘉兴市,193,海宁市,2068,腾讯大王卡,1,442
浙江,33,杭州市,190,临安市,2035,腾讯地王卡,4,71
浙江,33,舟山市,198,定海区,2107,腾讯大王卡,1,17
浙江,33,杭州市,190,滨江区,2028,腾讯亲情卡,6,301
浙江,33,杭州市,190,富阳市,2034,腾讯地王卡,4,114
浙江,33,绍兴市,195,诸暨市,2083,腾讯大王卡,1,142
浙江,33,绍兴市,195,诸暨市,2083,天王卡,5,5
浙江,33,杭州市,190,桐庐县,2031,腾讯地王卡,4,52
浙江,33,杭州市,190,滨江区,2028,大王超级会员卡,2,448
浙江,33,绍兴市,195,绍兴县,2081,大王超级会员卡,2,29
浙江,33,金华市,196,义乌市,2094,大王超级会员卡,2,46
浙江,33,杭州市,190,江干区,2025,腾讯地王卡,4,581
浙江,33,湖州市,194,南浔区,2074,腾讯大王卡,1,29
浙江,33,嘉兴市,193,桐乡市,2070,天王卡,5,12
浙江,33,杭州市,190,富阳市,2034,大王超级会员卡,2,434
浙江,33,温州市,192,龙湾区,2052,腾讯大王卡,1,25
浙江,33,金华市,196,婺城区,2088,腾讯大王卡,1,56
浙江,33,金华市,196,东阳市,2095,腾讯亲情卡,6,8
浙江,33,杭州市,190,下城区,2024,天王卡,5,156
浙江,33,湖州市,194,德清县,2075,腾讯大王卡,1,131
浙江,33,杭州市,190,建德市,2033,大王超级会员卡,2,158
浙江,33,温州市,192,鹿城区,2051,腾讯大王卡,1,29
